Student,Subject,Evaluation_Type,Evaluation_Name,Exercise_Name,Grade
Grace Cyan,Geography,FINAL_PRACTICAL_WORK,TP3,Ej2,2
Mona Gray,Geography,PRACTICAL_WORK,TP3,Ej4,6
Frank Pink,Economics,WRITTEN_EXAM,Examen Final,Ej10,9
Dana Azure,Geography,FINAL_PRACTICAL_WORK,TP3,Ej9,2
Dana Indigo,Economics,WRITTEN_EXAM,Segundo Parcial,Ej3,8
Bob Davis,Geography,PRACTICAL_WORK,TP4,Ej1,2
Hank Blue,Statistics,WRITTEN_EXAM,Primer Parcial,Ej3,5
Eve Brown,Economics,WRITTEN_EXAM,Examen Final,Ej10,1
Alice Black,Mathematics,WRITTEN_EXAM,Examen Final,Ej5,5
Liam Black,Biology,WRITTEN_EXAM,Segundo Parcial,Ej8,8
Dana Cyan,Geography,FINAL_PRACTICAL_WORK,TP3,Ej4,9
Mona Purple,English,WRITTEN_EXAM,Segundo Parcial,Ej14,7
Quincy Johnson,Physics,WRITTEN_EXAM,Primer Parcial,Ej8,4
Mona Yellow,Statistics,WRITTEN_EXAM,Primer Parcial,Ej3,7
Mona Brown,Geography,PRACTICAL_WORK,TP4,Ej1,1
Liam Orange,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej6,2
Bob Orange,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej9,2
Kelly Azure,Statistics,WRITTEN_EXAM,Examen Final,Ej3,5
Hank Azure,Physics,PRACTICAL_WORK,TP2,Ej5,8
Hank Green,Statistics,WRITTEN_EXAM,Primer Parcial,Ej8,4
Ivy Red,English,WRITTEN_EXAM,Segundo Parcial,Ej15,0
Dana Magenta,Economics,WRITTEN_EXAM,Primer Parcial,Ej7,3
Rita Brown,Biology,WRITTEN_EXAM,Examen Final,Ej4,7
Eve Cyan,Geography,PRACTICAL_WORK,TP4,Ej3,1
Bob Gray,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej4,2
Eve Red,Physics,WRITTEN_EXAM,Examen Final,Ej9,3
Rita Magenta,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej1,9
Alice Pink,Physics,PRACTICAL_WORK,TP1,Ej5,2
Kelly Yellow,Chemistry,PRACTICAL_WORK,TP1,Ej1,5
Bob Cyan,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej9,7
Eve Brown,Chemistry,WRITTEN_EXAM,Examen Final,Ej6,7
Grace Red,Statistics,WRITTEN_EXAM,Primer Parcial,Ej8,8
Alice Violet,Geography,PRACTICAL_WORK,TP3,Ej2,3
Charlie Violet,Economics,WRITTEN_EXAM,Examen Final,Ej4,4
Jack Davis,Mathematics,PRACTICAL_WORK,TP1,Ej3,2
Frank Brown,English,WRITTEN_EXAM,Primer Parcial,Ej18,1
Dana White,Biology,WRITTEN_EXAM,Primer Parcial,Ej5,3
Hank Yellow,Economics,WRITTEN_EXAM,Primer Parcial,Ej4,5
Hank Brown,Biology,WRITTEN_EXAM,Segundo Parcial,Ej9,0
Liam Indigo,Mathematics,PRACTICAL_WORK,TP3,Ej2,0
Olivia Yellow,Physics,PRACTICAL_WORK,TP1,Ej1,8
Hank Green,Geography,WRITTEN_EXAM,Examen Final,Ej7,8
Grace Brown,English,WRITTEN_EXAM,Primer Parcial,Ej7,5
Nick Blue,Geography,PRACTICAL_WORK,TP3,Ej3,5
Hank Indigo,Computer Science,PRACTICAL_WORK,TP6,Ej1,8
Rita Orange,Physics,WRITTEN_EXAM,Primer Parcial,Ej3,10
Bob Cyan,Physics,WRITTEN_EXAM,Primer Parcial,Ej1,0
Liam Brown,Chemistry,PRACTICAL_WORK,TP2,Ej3,2
Paul Brown,Philosophy,ORAL_EXAM,Primer Parcial,Ej1,5
Kelly White,English,WRITTEN_EXAM,Segundo Parcial,Ej13,4
Paul Red,Geography,PRACTICAL_WORK,TP1,Ej4,9
Sam Red,Statistics,WRITTEN_EXAM,Primer Parcial,Ej4,3
Mona Indigo,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej4,4
Olivia Indigo,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej10,3
Alice Violet,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej2,5
Hank Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej2,10
Dana Pink,Physics,WRITTEN_EXAM,Primer Parcial,Ej7,3
Bob Orange,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej3,8
Rita White,Biology,WRITTEN_EXAM,Segundo Parcial,Ej4,3
Hank Cyan,Art,PRACTICAL_WORK,TP8,Ej1,4
Quincy Beige,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej5,4
Olivia Gray,Economics,WRITTEN_EXAM,Primer Parcial,Ej4,7
Quincy Teal,Art,PRACTICAL_WORK,TP4,Ej1,8
Grace Yellow,Physics,WRITTEN_EXAM,Segundo Parcial,Ej4,8
Charlie Teal,Biology,WRITTEN_EXAM,Primer Parcial,Ej4,9
Eve Pink,Biology,WRITTEN_EXAM,Examen Final,Ej1,1
Paul Yellow,Statistics,WRITTEN_EXAM,Examen Final,Ej1,5
Alice Blue,Biology,WRITTEN_EXAM,Examen Final,Ej10,4
Kelly Red,Art,PRACTICAL_WORK,TP9,Ej1,4
Paul Gray,Statistics,WRITTEN_EXAM,Examen Final,Ej2,6
Olivia Cyan,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej6,4
Nick Johnson,Physics,PRACTICAL_WORK,TP1,Ej2,5
Charlie Gray,Chemistry,WRITTEN_EXAM,Examen Final,Ej8,5
Paul Indigo,English,WRITTEN_EXAM,Segundo Parcial,Ej19,5
Dana Orange,Economics,WRITTEN_EXAM,Primer Parcial,Ej3,8
Quincy Teal,Geography,PRACTICAL_WORK,TP2,Ej1,2
Grace Brown,Geography,PRACTICAL_WORK,TP2,Ej4,0
Mona Red,Mathematics,PRACTICAL_WORK,TP2,Ej3,1
Olivia Pink,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej7,7
Hank Blue,Music,PRACTICAL_WORK,TP5,Ej1,5
Nick Indigo,Computer Science,PRACTICAL_WORK,TP6,Ej1,2
Dana Black,Geography,PRACTICAL_WORK,TP3,Ej2,4
Paul Johnson,Economics,WRITTEN_EXAM,Primer Parcial,Ej2,9
Paul Davis,Mathematics,PRACTICAL_WORK,TP2,Ej2,4
Sam White,Economics,WRITTEN_EXAM,Primer Parcial,Ej9,6
Charlie Teal,English,WRITTEN_EXAM,Segundo Parcial,Ej17,6
Quincy Indigo,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,0
Kelly Black,Mathematics,PRACTICAL_WORK,TP1,Ej1,8
Olivia Beige,Economics,WRITTEN_EXAM,Primer Parcial,Ej8,9
Frank Magenta,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej5,6
Kelly Brown,Geography,PRACTICAL_WORK,TP4,Ej1,3
Ivy Black,History,WRITTEN_EXAM,Segundo Parcial,Ej1,4
Frank Gray,Biology,WRITTEN_EXAM,Segundo Parcial,Ej2,4
Bob Gray,Physics,WRITTEN_EXAM,Segundo Parcial,Ej5,1
Dana Violet,Chemistry,WRITTEN_EXAM,Examen Final,Ej5,9
Nick Beige,Physics,PRACTICAL_WORK,TP1,Ej5,7
Liam Magenta,Physics,WRITTEN_EXAM,Primer Parcial,Ej7,10
Bob White,English,WRITTEN_EXAM,Primer Parcial,Ej17,3
Jack Teal,Geography,FINAL_PRACTICAL_WORK,TP3,Ej9,9
Paul Beige,Geography,PRACTICAL_WORK,TP4,Ej3,0
Grace Azure,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej4,1
Kelly Magenta,Geography,PRACTICAL_WORK,TP1,Ej4,4
Alice Violet,Physics,WRITTEN_EXAM,Primer Parcial,Ej6,6
Alice Yellow,Geography,PRACTICAL_WORK,TP3,Ej5,1
Paul Violet,Music,PRACTICAL_WORK,TP6,Ej1,7
Bob Blue,Physics,WRITTEN_EXAM,Examen Final,Ej9,9
Ivy Yellow,Statistics,WRITTEN_EXAM,Primer Parcial,Ej4,7
Charlie Teal,Physics,FINAL_PRACTICAL_WORK,TP3,Ej4,1
Mona Cyan,Biology,WRITTEN_EXAM,Examen Final,Ej2,1
Olivia Orange,Psychology,ORAL_EXAM,Examen Final,Ej1,9
Mona Azure,English,WRITTEN_EXAM,Primer Parcial,Ej8,3
Sam Davis,Geography,WRITTEN_EXAM,Examen Final,Ej9,1
Hank Azure,Art,PRACTICAL_WORK,TP7,Ej1,2
Eve Teal,English,ORAL_EXAM,Examen Final,Ej1,1
Alice Blue,Mathematics,WRITTEN_EXAM,Examen Final,Ej1,6
Paul Violet,Music,PRACTICAL_WORK,TP10,Ej1,3
Olivia Teal,Economics,WRITTEN_EXAM,Primer Parcial,Ej7,7
Sam Indigo,Economics,WRITTEN_EXAM,Primer Parcial,Ej10,4
Quincy Magenta,Biology,WRITTEN_EXAM,Segundo Parcial,Ej5,5
Rita Green,English,ORAL_EXAM,Examen Final,Ej1,6
Nick Red,Physics,FINAL_PRACTICAL_WORK,TP3,Ej1,7
Quincy Indigo,Geography,FINAL_PRACTICAL_WORK,TP3,Ej2,2
Nick Teal,Economics,WRITTEN_EXAM,Examen Final,Ej2,8
Frank Orange,Geography,PRACTICAL_WORK,TP3,Ej2,8
Dana Davis,Music,ORAL_EXAM,Examen Final,Ej1,9
Bob Indigo,English,WRITTEN_EXAM,Primer Parcial,Ej5,0
Charlie Violet,Chemistry,PRACTICAL_WORK,TP1,Ej3,2
Mona Green,Chemistry,WRITTEN_EXAM,Examen Final,Ej1,5
Ivy Blue,Physics,WRITTEN_EXAM,Segundo Parcial,Ej8,9
Eve Orange,English,WRITTEN_EXAM,Segundo Parcial,Ej12,4
Mona Violet,English,WRITTEN_EXAM,Segundo Parcial,Ej13,2
Jack Magenta,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej8,5
Bob Yellow,Music,PRACTICAL_WORK,TP7,Ej1,3
Sam Brown,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej5,9
Kelly Cyan,Economics,WRITTEN_EXAM,Segundo Parcial,Ej1,10
Jack Orange,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej5,2
Quincy Azure,Mathematics,PRACTICAL_WORK,TP1,Ej3,6
Jack Purple,Biology,WRITTEN_EXAM,Segundo Parcial,Ej8,4
Charlie Green,Psychology,ORAL_EXAM,Examen Final,Ej1,6
Mona Black,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej6,9
Nick Green,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej2,9
Olivia Gray,Biology,WRITTEN_EXAM,Primer Parcial,Ej3,2
Quincy Brown,English,WRITTEN_EXAM,Primer Parcial,Ej1,2
Liam Magenta,Mathematics,WRITTEN_EXAM,Examen Final,Ej5,2
Alice Davis,Mathematics,WRITTEN_EXAM,Examen Final,Ej4,6
Kelly Beige,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej6,4
Alice Violet,Mathematics,WRITTEN_EXAM,Examen Final,Ej10,8
Kelly Azure,Economics,WRITTEN_EXAM,Examen Final,Ej5,3
Dana White,English,WRITTEN_EXAM,Segundo Parcial,Ej7,8
Rita Beige,Mathematics,PRACTICAL_WORK,TP2,Ej3,6
Frank Red,Art,PRACTICAL_WORK,TP8,Ej1,3
Ivy White,Mathematics,WRITTEN_EXAM,Examen Final,Ej7,1
Frank Gray,Economics,WRITTEN_EXAM,Segundo Parcial,Ej6,6
Grace Orange,Chemistry,PRACTICAL_WORK,TP2,Ej1,0
Rita White,Physics,WRITTEN_EXAM,Segundo Parcial,Ej8,8
Bob Red,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej4,5
Paul Green,Biology,WRITTEN_EXAM,Examen Final,Ej7,9
Quincy Yellow,Art,PRACTICAL_WORK,TP5,Ej1,3
Dana Beige,Sociology,ORAL_EXAM,Examen Final,Ej1,3
Quincy Black,Mathematics,PRACTICAL_WORK,TP1,Ej3,8
Quincy Davis,English,WRITTEN_EXAM,Segundo Parcial,Ej17,2
Frank Magenta,Physics,WRITTEN_EXAM,Segundo Parcial,Ej1,9
Bob Violet,Computer Science,PRACTICAL_WORK,TP4,Ej1,9
Hank Green,Statistics,WRITTEN_EXAM,Primer Parcial,Ej9,8
Olivia Green,Geography,WRITTEN_EXAM,Examen Final,Ej4,10
Quincy Teal,Physics,WRITTEN_EXAM,Segundo Parcial,Ej2,7
Eve Magenta,Art,PRACTICAL_WORK,TP3,Ej1,4
Paul Green,Music,PRACTICAL_WORK,TP3,Ej1,0
Rita Orange,Physics,WRITTEN_EXAM,Examen Final,Ej7,9
Grace Green,Computer Science,PRACTICAL_WORK,TP1,Ej1,1
Hank Black,English,WRITTEN_EXAM,Segundo Parcial,Ej9,2
Grace Purple,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej9,8
Paul Indigo,Music,PRACTICAL_WORK,TP2,Ej1,9
Olivia Black,Geography,WRITTEN_EXAM,Examen Final,Ej8,9
Hank Davis,Geography,FINAL_PRACTICAL_WORK,TP3,Ej10,6
Olivia Green,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,4
Kelly Davis,Mathematics,PRACTICAL_WORK,TP2,Ej5,10
Hank Violet,Statistics,WRITTEN_EXAM,Primer Parcial,Ej9,0
Frank Indigo,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej1,9
Bob Black,English,WRITTEN_EXAM,Segundo Parcial,Ej13,4
Grace Cyan,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej5,4
Alice Johnson,Physics,WRITTEN_EXAM,Segundo Parcial,Ej3,9
Jack Black,Statistics,WRITTEN_EXAM,Examen Final,Ej3,10
Jack Red,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej2,2
Charlie Teal,Biology,WRITTEN_EXAM,Segundo Parcial,Ej9,1
Frank White,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,5
Nick Yellow,Music,PRACTICAL_WORK,TP10,Ej1,9
Hank Pink,Economics,WRITTEN_EXAM,Primer Parcial,Ej2,3
Sam Brown,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej8,5
Paul Purple,Physics,WRITTEN_EXAM,Primer Parcial,Ej6,7
Quincy Orange,Physics,WRITTEN_EXAM,Segundo Parcial,Ej8,5
Hank Johnson,Physics,WRITTEN_EXAM,Primer Parcial,Ej10,3
Quincy Blue,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej2,6
Frank Purple,Physics,PRACTICAL_WORK,TP1,Ej5,2
Eve Black,Statistics,WRITTEN_EXAM,Examen Final,Ej9,9
Hank Magenta,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,3
Paul Magenta,Biology,WRITTEN_EXAM,Segundo Parcial,Ej7,1
Rita White,Statistics,WRITTEN_EXAM,Examen Final,Ej1,2
Kelly Pink,Chemistry,WRITTEN_EXAM,Examen Final,Ej1,6
Hank Orange,Economics,WRITTEN_EXAM,Segundo Parcial,Ej7,0
Hank Gray,Physics,FINAL_PRACTICAL_WORK,TP3,Ej3,2
Eve Orange,Physics,WRITTEN_EXAM,Segundo Parcial,Ej7,3
Sam White,Chemistry,WRITTEN_EXAM,Examen Final,Ej9,6
Quincy White,Chemistry,PRACTICAL_WORK,TP2,Ej2,0
Frank Pink,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej5,9
Frank Purple,English,WRITTEN_EXAM,Segundo Parcial,Ej4,3
Grace Blue,Physics,PRACTICAL_WORK,TP1,Ej2,4
Kelly Gray,Art,PRACTICAL_WORK,TP4,Ej1,6
Paul Orange,Geography,FINAL_PRACTICAL_WORK,TP3,Ej3,2
Quincy Azure,Geography,WRITTEN_EXAM,Examen Final,Ej4,8
Bob Indigo,Economics,WRITTEN_EXAM,Segundo Parcial,Ej10,1
Paul Pink,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej9,4
Frank Cyan,Chemistry,WRITTEN_EXAM,Examen Final,Ej3,7
Rita Black,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,1
Grace Black,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej2,7
Rita Blue,History,WRITTEN_EXAM,Examen Final,Ej1,4
Dana Violet,Mathematics,PRACTICAL_WORK,TP3,Ej5,4
Mona Blue,Physics,PRACTICAL_WORK,TP2,Ej3,4
Bob Black,English,WRITTEN_EXAM,Segundo Parcial,Ej20,8
Hank Indigo,English,WRITTEN_EXAM,Primer Parcial,Ej16,2
Bob Blue,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej8,10
Frank Purple,Statistics,WRITTEN_EXAM,Examen Final,Ej7,6
Eve Azure,Economics,WRITTEN_EXAM,Segundo Parcial,Ej8,9
Quincy Indigo,Economics,WRITTEN_EXAM,Segundo Parcial,Ej4,0
Olivia Pink,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,8
Quincy Teal,Geography,PRACTICAL_WORK,TP1,Ej3,4
Rita Brown,Geography,WRITTEN_EXAM,Examen Final,Ej5,4
Liam Yellow,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej6,3
Eve Cyan,Biology,WRITTEN_EXAM,Primer Parcial,Ej2,9
Quincy Brown,Statistics,WRITTEN_EXAM,Primer Parcial,Ej8,3
Mona Yellow,Mathematics,WRITTEN_EXAM,Examen Final,Ej5,6
Ivy Pink,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej3,7
Kelly Cyan,Chemistry,PRACTICAL_WORK,TP2,Ej3,9
Jack Indigo,Physics,WRITTEN_EXAM,Segundo Parcial,Ej9,8
Nick Davis,Music,PRACTICAL_WORK,TP3,Ej1,4
Bob Azure,English,WRITTEN_EXAM,Primer Parcial,Ej13,9
Kelly Violet,Mathematics,PRACTICAL_WORK,TP1,Ej1,4
Liam Magenta,Statistics,WRITTEN_EXAM,Primer Parcial,Ej10,5
Jack Violet,Biology,WRITTEN_EXAM,Segundo Parcial,Ej9,8
Sam Orange,English,WRITTEN_EXAM,Primer Parcial,Ej7,9
Kelly Green,Statistics,WRITTEN_EXAM,Examen Final,Ej10,8
Olivia Orange,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,5
Ivy Brown,Chemistry,WRITTEN_EXAM,Examen Final,Ej2,4
Nick Black,Geography,WRITTEN_EXAM,Examen Final,Ej10,2
Mona Black,Physics,WRITTEN_EXAM,Segundo Parcial,Ej8,7
Alice Orange,Biology,WRITTEN_EXAM,Primer Parcial,Ej2,2
Liam Purple,Geography,FINAL_PRACTICAL_WORK,TP3,Ej6,8
Alice Pink,Mathematics,WRITTEN_EXAM,Examen Final,Ej1,4
Rita Indigo,Geography,PRACTICAL_WORK,TP3,Ej5,2
Mona White,Physics,PRACTICAL_WORK,TP1,Ej4,5
Charlie Gray,Biology,WRITTEN_EXAM,Primer Parcial,Ej9,0
Alice Green,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej10,2
Dana Violet,English,WRITTEN_EXAM,Segundo Parcial,Ej8,10
Sam Red,Geography,WRITTEN_EXAM,Examen Final,Ej7,1
Kelly Violet,Statistics,WRITTEN_EXAM,Examen Final,Ej2,6
Paul Violet,English,WRITTEN_EXAM,Primer Parcial,Ej13,1
Kelly White,Economics,WRITTEN_EXAM,Segundo Parcial,Ej6,1
Dana Indigo,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej10,1
Nick Azure,Music,PRACTICAL_WORK,TP7,Ej1,7
Grace Teal,Statistics,WRITTEN_EXAM,Primer Parcial,Ej6,5
Eve Davis,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej8,3
Rita Yellow,Geography,PRACTICAL_WORK,TP1,Ej2,8
Mona Red,Physics,PRACTICAL_WORK,TP1,Ej2,4
Quincy Davis,Biology,WRITTEN_EXAM,Segundo Parcial,Ej6,7
Olivia Gray,Economics,WRITTEN_EXAM,Primer Parcial,Ej9,8
Dana Magenta,Economics,WRITTEN_EXAM,Primer Parcial,Ej6,6
Ivy Azure,Chemistry,WRITTEN_EXAM,Examen Final,Ej2,6
Kelly Orange,Biology,WRITTEN_EXAM,Primer Parcial,Ej2,7
Dana Pink,Geography,PRACTICAL_WORK,TP4,Ej2,4
Jack Gray,Economics,WRITTEN_EXAM,Segundo Parcial,Ej10,3
Grace Johnson,Mathematics,PRACTICAL_WORK,TP3,Ej5,1
Jack Green,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej2,8
Jack Red,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej9,2
Sam White,Philosophy,ORAL_EXAM,Primer Parcial,Ej1,6
Nick White,Chemistry,WRITTEN_EXAM,Examen Final,Ej1,3
Mona Blue,Mathematics,WRITTEN_EXAM,Examen Final,Ej9,8
Alice Yellow,Economics,WRITTEN_EXAM,Segundo Parcial,Ej3,7
Kelly Blue,Statistics,WRITTEN_EXAM,Primer Parcial,Ej1,4
Olivia Violet,Music,PRACTICAL_WORK,TP3,Ej1,1
Hank Orange,Statistics,WRITTEN_EXAM,Primer Parcial,Ej10,3
Rita Magenta,Computer Science,PRACTICAL_WORK,TP6,Ej1,5
Hank Magenta,Physics,WRITTEN_EXAM,Segundo Parcial,Ej5,3
Mona Red,History,WRITTEN_EXAM,Segundo Parcial,Ej1,5
Rita Gray,Physics,WRITTEN_EXAM,Segundo Parcial,Ej4,5
Eve Green,Physics,WRITTEN_EXAM,Primer Parcial,Ej9,2
Hank Purple,Computer Science,PRACTICAL_WORK,TP5,Ej1,4
Dana Black,Economics,WRITTEN_EXAM,Primer Parcial,Ej3,8
Ivy Johnson,Sociology,ORAL_EXAM,Examen Final,Ej1,9
Jack Yellow,English,WRITTEN_EXAM,Segundo Parcial,Ej11,3
Bob Beige,Biology,WRITTEN_EXAM,Examen Final,Ej4,9
Olivia Pink,English,WRITTEN_EXAM,Primer Parcial,Ej19,9
Bob Johnson,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,2
Hank Brown,English,WRITTEN_EXAM,Primer Parcial,Ej5,3
Paul Blue,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej5,8
Frank Blue,Biology,WRITTEN_EXAM,Examen Final,Ej6,7
Mona Azure,Music,FINAL_PRACTICAL_WORK,TP Final,Ej1,10
Olivia Brown,Economics,WRITTEN_EXAM,Segundo Parcial,Ej2,4
Hank White,Geography,WRITTEN_EXAM,Examen Final,Ej3,2
Nick Johnson,Geography,FINAL_PRACTICAL_WORK,TP3,Ej5,6
Jack Purple,Chemistry,WRITTEN_EXAM,Examen Final,Ej2,9
Liam White,Mathematics,WRITTEN_EXAM,Examen Final,Ej4,4
Liam Johnson,English,WRITTEN_EXAM,Primer Parcial,Ej3,4
Rita Black,Biology,WRITTEN_EXAM,Examen Final,Ej1,8
Eve Magenta,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej3,0
Charlie Black,Geography,FINAL_PRACTICAL_WORK,TP3,Ej5,6
Bob Violet,English,WRITTEN_EXAM,Primer Parcial,Ej9,3
Hank Blue,Geography,PRACTICAL_WORK,TP1,Ej1,0
Liam Black,Mathematics,PRACTICAL_WORK,TP1,Ej2,3
Alice Black,Art,PRACTICAL_WORK,TP9,Ej1,2
Bob Blue,English,WRITTEN_EXAM,Primer Parcial,Ej2,8
Ivy Orange,English,WRITTEN_EXAM,Primer Parcial,Ej7,2
Liam Magenta,Music,PRACTICAL_WORK,TP8,Ej1,6
Paul Blue,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej1,4
Jack Green,Chemistry,PRACTICAL_WORK,TP1,Ej2,6
Alice Violet,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,1
Frank Davis,Geography,WRITTEN_EXAM,Examen Final,Ej5,1
Dana Purple,Geography,WRITTEN_EXAM,Examen Final,Ej3,4
Nick Orange,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej5,0
Hank Purple,Geography,WRITTEN_EXAM,Examen Final,Ej9,1
Jack Teal,Music,PRACTICAL_WORK,TP7,Ej1,2
Frank Teal,Economics,WRITTEN_EXAM,Segundo Parcial,Ej1,10
Rita Beige,Physics,WRITTEN_EXAM,Segundo Parcial,Ej3,1
Olivia Cyan,Geography,PRACTICAL_WORK,TP1,Ej5,0
Ivy Yellow,Economics,WRITTEN_EXAM,Examen Final,Ej6,3
Rita Pink,Physics,WRITTEN_EXAM,Primer Parcial,Ej10,5
Paul Red,Statistics,WRITTEN_EXAM,Primer Parcial,Ej2,1
Alice Red,Biology,WRITTEN_EXAM,Segundo Parcial,Ej9,4
Ivy Teal,English,WRITTEN_EXAM,Segundo Parcial,Ej2,7
Paul Gray,Geography,PRACTICAL_WORK,TP3,Ej2,6
Liam Beige,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej5,8
Hank Red,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej10,7
Mona Purple,Mathematics,PRACTICAL_WORK,TP3,Ej4,10
Dana Red,English,WRITTEN_EXAM,Segundo Parcial,Ej13,4
Bob Red,Economics,WRITTEN_EXAM,Primer Parcial,Ej3,4
Nick Cyan,Chemistry,PRACTICAL_WORK,TP2,Ej3,7
Grace Blue,English,WRITTEN_EXAM,Segundo Parcial,Ej17,9
Jack Indigo,Art,PRACTICAL_WORK,TP8,Ej1,3
Olivia Beige,Art,PRACTICAL_WORK,TP7,Ej1,7
Kelly Brown,Chemistry,WRITTEN_EXAM,Examen Final,Ej3,8
Charlie Johnson,Economics,WRITTEN_EXAM,Primer Parcial,Ej6,8
Kelly Purple,Art,PRACTICAL_WORK,TP1,Ej1,3
Quincy Magenta,Physics,WRITTEN_EXAM,Primer Parcial,Ej8,2
Alice Purple,Geography,PRACTICAL_WORK,TP3,Ej4,4
Grace Davis,Art,PRACTICAL_WORK,TP1,Ej1,4
Paul Green,Statistics,WRITTEN_EXAM,Examen Final,Ej6,8
Grace Gray,Computer Science,PRACTICAL_WORK,TP10,Ej1,4
Ivy Blue,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej2,1
Mona Beige,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej8,2
Paul Magenta,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej6,5
Rita Beige,Economics,WRITTEN_EXAM,Primer Parcial,Ej8,3
Rita Black,Chemistry,WRITTEN_EXAM,Examen Final,Ej5,6
Charlie Violet,Physics,WRITTEN_EXAM,Segundo Parcial,Ej1,0
Charlie Cyan,Chemistry,WRITTEN_EXAM,Examen Final,Ej3,6
Paul Blue,Mathematics,PRACTICAL_WORK,TP2,Ej5,1
Kelly Brown,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej7,5
Alice Cyan,Statistics,WRITTEN_EXAM,Examen Final,Ej10,8
Paul Red,Mathematics,WRITTEN_EXAM,Examen Final,Ej9,8
Kelly Magenta,Geography,PRACTICAL_WORK,TP2,Ej1,6
Ivy Gray,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej1,8
Frank Indigo,Mathematics,PRACTICAL_WORK,TP1,Ej3,5
Quincy Orange,History,WRITTEN_EXAM,Primer Parcial,Ej1,9
Hank Violet,Biology,WRITTEN_EXAM,Examen Final,Ej6,1
Jack Pink,Economics,WRITTEN_EXAM,Examen Final,Ej1,0
Charlie Indigo,Statistics,WRITTEN_EXAM,Examen Final,Ej10,7
Bob Johnson,Geography,FINAL_PRACTICAL_WORK,TP3,Ej5,6
Eve Teal,Mathematics,PRACTICAL_WORK,TP3,Ej1,2
Grace White,Economics,WRITTEN_EXAM,Segundo Parcial,Ej3,9
Kelly Beige,Geography,PRACTICAL_WORK,TP2,Ej4,3
Rita Teal,Biology,WRITTEN_EXAM,Primer Parcial,Ej2,7
Eve Magenta,Biology,WRITTEN_EXAM,Primer Parcial,Ej5,0
Olivia Red,Physics,WRITTEN_EXAM,Segundo Parcial,Ej1,7
Dana Green,Art,PRACTICAL_WORK,TP2,Ej1,8
Eve Brown,Geography,PRACTICAL_WORK,TP2,Ej4,2
